shipment_id,supplier_name,country,city,warehouse_id,product,order_quantity,unit_cost,total_cost,lead_time_days,delivery_status,order_date
6271,MedTech SRL ,NETHERLANDS,AMSTERDAM,WH-A,Packaging,,,0.0,unknown,IN TRANSIT,21/11/2023
8064,GlobalTrade GmbH,spain,BARCELONA,wh-b,Packaging,N/A,,0.0,,IN TRANSIT,"March 2, 2023"
6997,GlobalTrade GmbH,France,MARSEILLE,WH-A ,Packaging,,,0.0,-22,CANCELLED,03/02/2023
8584,GlobalTrade GmbH,Germany,berlin,WH_C,Steel Parts,153,24.81,3795.93,-9,In Transit,"March 7, 2023"
8830,Iberia Parts,Netherlads,amsterdam,WH-A ,Electronics,N/A,-48.64,-48.64,-25,Delivered,"March 28, 2023"
5337,MedTech SRL ,Netherlads,amsterdam,wh-b,Packaging,N/A,,0.0,unknown,In Transit,2023-02-21
4168,MedTech SRL ,Netherlads,rotterdam,WH_C,PLASTIC COMPONENTS,,,0.0,,In Transit,2022-12-29
8805,Iberia Parts,poland,warsaw,WH-A ,Steel Parts,641,,0.0,55, delivered,23/07/2022
4090,Iberia Parts,Netherlands,Amsterdam,WH-A,Electronics,,-93.97,-93.97,,Delayed,10/03/2024
4923,Nordic  Logistics,POLAND,WARSAW,wh-b,PLASTIC COMPONENTS,N/A,173.55,173.55,unknown,IN TRANSIT,2023-09-26
4801,Nordic  Logistics,NETHERLANDS,amsterdam,WH-D,Electronics,N/A,,0.0,-5, delivered,"March 14, 2023"
7799,MedTech SRL ,Frnace,lyon,wh-b,PLASTIC COMPONENTS,,,0.0,-6,Delayed,2022-09-01
7678,Iberia Parts,Poland,krakow,WH-A,Electronics,,191.55,191.55,unknown,Delivered,2022-12-21
6714, EuroSupply SA,POLAND,krakow,WH-A ,Electronics,,,0.0,51, delivered,2023-05-25
6308,MedTech SRL ,Polad,warsaw,wh-b,PLASTIC COMPONENTS,N/A,-67.16,-67.16,unknown,In Transit,11/04/2022
4271,GlobalTrade GmbH,france,PARIS,WH-D,steel parts ,N/A,-91.22,-91.22,,In Transit,"March 5, 2023"
4770,Iberia Parts,France,Lyon,WH_C,electronics ,N/A,-10.56,-10.56,-7,IN TRANSIT,"March 18, 2023"
7394,Nordic  Logistics,Netherlads,AMSTERDAM,wh-b,Steel Parts,,171.84,171.84,-10,In Transit,2022-07-19
8929,MedTech SRL ,GERMANY,berlin,WH-D,electronics ,,-20.53,-20.53,-8,Delayed,28/10/2023
4236,Nordic  Logistics,italy,milan,WH_C,Steel Parts,,7.2,7.2,-14,Delayed,"March 4, 2023"
6874, EuroSupply SA,belgium,brussels,WH-D,Steel Parts,611,106.82,65267.02,-15,IN TRANSIT,"March 14, 2023"
5188,Nordic  Logistics,BELGIUM,antwerp,WH-A,steel parts ,N/A,,0.0,-10,IN TRANSIT,"March 19, 2023"
8384,Iberia Parts,France,Lyon,WH-D,PLASTIC COMPONENTS,,-66.06,-66.06,-6, delivered,17/03/2023
4095,Iberia Parts,Belguim,Brussels,WH-A ,Packaging,,,0.0,unknown,IN TRANSIT,2022-12-22
8586,GlobalTrade GmbH,France,Paris,WH-A ,Packaging,,-55.41,-55.41,35,CANCELLED,18/09/2023
4255,Iberia Parts,Germnay,Munich,wh-b,PLASTIC COMPONENTS,N/A,,0.0,unknown,IN TRANSIT,2023-10-17
5687,Iberia Parts,BELGIUM,BRUSSELS,WH-D,steel parts ,209,,0.0,51,In Transit,"March 8, 2023"
4628,Iberia Parts,Polad,krakow,WH-A ,PLASTIC COMPONENTS,N/A,68.23,68.23,,Delivered,21/07/2022
5125,Iberia Parts,germany,Munich,WH-D,Packaging,64,,0.0,unknown,Delivered,2022-08-16
5386,GlobalTrade GmbH,netherlands,rotterdam,WH_C,Steel Parts,,,0.0,unknown,IN TRANSIT,2023-04-01
5613,MedTech SRL ,Polad,Warsaw,wh-b,electronics ,N/A,76.7,76.7,,In Transit,2022-12-15
6539,Nordic  Logistics,italy,Milan,WH-A ,PLASTIC COMPONENTS,,,0.0,unknown,Delayed,2022-08-15
8435, EuroSupply SA,Belgium,BRUSSELS,WH_C,Packaging,,,0.0,51,Delayed,2023-10-24
5522,Iberia Parts,poland,krakow,WH-A ,Electronics,383,,0.0,54,In Transit,08/11/2023
4145,MedTech SRL ,netherlands,Amsterdam,WH-A,PLASTIC COMPONENTS,,,0.0,,IN TRANSIT,"March 16, 2023"
4519,MedTech SRL ,BELGIUM,brussels,wh-b,Steel Parts,,,0.0,unknown, delivered,2022-04-09
7721, EuroSupply SA,belgium,Brussels,WH-A ,Electronics,614,,0.0,unknown,Delayed,2023-08-29
7811, EuroSupply SA,germany,MUNICH,WH-D,Electronics,N/A,-78.75,-78.75,56,CANCELLED,2022-05-15
7041,Nordic  Logistics,BELGIUM,antwerp,WH-A,electronics ,,,0.0,-13,CANCELLED,08/01/2022
5253,MedTech SRL ,Italy,milan,WH_C,Electronics,N/A,56.34,56.34,55,IN TRANSIT,13/07/2022
4758,Nordic  Logistics,Spain,Barcelona,WH-A ,PLASTIC COMPONENTS,,,0.0,1,CANCELLED,2022-05-16
4260, EuroSupply SA,Spian,BARCELONA,WH-D,Packaging,,,0.0,unknown, delivered,"March 22, 2023"
4399,Nordic  Logistics,Poland,krakow,wh-b,Electronics,,,0.0,-24,In Transit,"March 9, 2023"
4405,Iberia Parts,Germnay,BERLIN,WH-A ,steel parts ,,,0.0,unknown,CANCELLED,"March 18, 2023"
4627, EuroSupply SA,BELGIUM,brussels,WH-A,Packaging,,-8.07,-8.07,34,Delayed,2022-06-24
6109,GlobalTrade GmbH,France,Lyon,WH_C,Packaging,N/A,,0.0,28,IN TRANSIT,"March 13, 2023"
6357,Nordic  Logistics,Spain,MADRID,WH-A,Steel Parts,165,,0.0,,In Transit,2022-03-31
7276, EuroSupply SA,Belgium,BRUSSELS,WH_C,electronics ,197,,0.0,32, delivered,"March 24, 2023"
5428,Nordic  Logistics,Belguim,BRUSSELS,WH-A ,electronics ,321,,0.0,,Delivered,2024-02-07
7098,MedTech SRL ,germany,hamburg,wh-b,Steel Parts,217,,0.0,,CANCELLED,"March 17, 2023"
8718,MedTech SRL ,ITALY,Milan,WH_C,electronics ,483,-25.21,-12176.43,-24,IN TRANSIT,2022-11-28
8586,Iberia Parts,Netherlads,rotterdam,WH-A,Steel Parts,N/A,,0.0,,IN TRANSIT,19/12/2022
6102,Iberia Parts,Netherlads,Amsterdam,WH-A ,Packaging,461,-24.9,-11478.9,unknown,IN TRANSIT,2022-06-25
7797,Nordic  Logistics,netherlands,rotterdam,WH-D,Packaging,312,,0.0,-1,IN TRANSIT,07/01/2022
6346,Nordic  Logistics,poland,WARSAW,WH-A ,Steel Parts,,,0.0,unknown,CANCELLED,2023-12-12
8313,Iberia Parts,POLAND,krakow,WH_C,PLASTIC COMPONENTS,N/A,,0.0,-7,Delayed,"March 20, 2023"
5592,Nordic  Logistics,france,Paris,WH-A ,Electronics,352,,0.0,,In Transit,2023-08-12
6490,Iberia Parts,Itlay,milan,WH_C,PLASTIC COMPONENTS,N/A,72.4,72.4,-16,Delayed,"March 19, 2023"
6497,MedTech SRL ,Italy,turin,WH-A,electronics ,591,-35.3,-20862.3,4, delivered,"March 9, 2023"
8187,Iberia Parts,Netherlads,AMSTERDAM,wh-b,electronics ,,,0.0,,CANCELLED,"March 26, 2023"
6215,Iberia Parts,France,Lyon,WH-A ,PLASTIC COMPONENTS,,123.39,123.39,,IN TRANSIT,2023-08-18
5840,Nordic  Logistics,ITALY,ROME,wh-b,Packaging,,104.19,104.19,, delivered,"March 2, 2023"
8868,Nordic  Logistics,Netherlands,AMSTERDAM,wh-b,Steel Parts,201,,0.0,5,Delayed,27/06/2022
4570,Nordic  Logistics,GERMANY,Munich,WH_C,steel parts ,N/A,25.89,25.89,-19, delivered,2022-04-21
6518,Nordic  Logistics,germany,MUNICH,WH-A ,Steel Parts,,-71.16,-71.16,34, delivered,2022-01-16
5609,MedTech SRL ,FRANCE,paris,WH-D,Electronics,,,0.0,unknown,Delivered,"March 16, 2023"
8888, EuroSupply SA,GERMANY,Berlin,WH-D,PLASTIC COMPONENTS,,-35.42,-35.42,7,CANCELLED,2023-12-23
4328,GlobalTrade GmbH,Frnace,Lyon,wh-b,PLASTIC COMPONENTS,92,,0.0,unknown,Delayed,04/12/2022
5067, EuroSupply SA,Italy,MILAN,wh-b,Electronics,,,0.0,26,Delayed,"March 20, 2023"
8249, EuroSupply SA,SPAIN,Madrid,WH-A,Steel Parts,,,0.0,50,IN TRANSIT,12/08/2023
6008,MedTech SRL ,GERMANY,MUNICH,WH_C,steel parts ,,-88.78,-88.78,-14,Delivered,03/08/2023
7144,MedTech SRL ,Itlay,milan,WH_C,Electronics,,67.24,67.24,unknown,Delivered,2022-10-01
4829,Iberia Parts,belgium,antwerp,WH-A,Packaging,,-89.58,-89.58,51,CANCELLED,2022-08-14
4433,MedTech SRL ,spain,MADRID,WH-D,electronics ,25,-45.02,-1125.5,unknown,In Transit,2023-08-03
4122,Iberia Parts,Itlay,milan,WH-D,PLASTIC COMPONENTS,,69.67,69.67,,Delivered,2023-12-22
7365,Iberia Parts,Frnace,lyon,wh-b,PLASTIC COMPONENTS,,,0.0,unknown, delivered,"March 11, 2023"
6870,Nordic  Logistics,Spian,MADRID,WH_C,PLASTIC COMPONENTS,,-95.84,-95.84,unknown,Delayed,2023-08-31
6339,Nordic  Logistics,spain,Barcelona,WH_C,PLASTIC COMPONENTS,N/A,,0.0,,In Transit,2022-01-22
5759, EuroSupply SA,Italy,Rome,WH-D,Steel Parts,,,0.0,unknown, delivered,2022-02-04
7484, EuroSupply SA,spain,Barcelona,WH-A ,steel parts ,205,-79.33,-16262.65,-16,Delayed,13/02/2023
7789,MedTech SRL ,spain,Barcelona,WH-A,Electronics,N/A,-30.59,-30.59,-7, delivered,2022-12-23
7736,Nordic  Logistics,Netherlands,AMSTERDAM,WH-D,steel parts ,,-83.55,-83.55,16,Delivered,2024-05-03
5386,GlobalTrade GmbH,france,Lyon,WH-A ,electronics ,,-98.52,-98.52,35, delivered,"March 13, 2023"
7355,Nordic  Logistics,Netherlands,amsterdam,WH-D,electronics ,352,-12.33,-4340.16,unknown, delivered,"March 8, 2023"
7808,Iberia Parts,germany,berlin,WH-A,electronics ,N/A,166.04,166.04,unknown,Delivered,03/05/2022
4951,GlobalTrade GmbH,poland,WARSAW,wh-b,Electronics,,,0.0,unknown,In Transit,28/05/2023
7427,Iberia Parts,Itlay,ROME,WH-A ,Steel Parts,N/A,81.95,81.95,,Delivered,2022-02-21
4976, EuroSupply SA,FRANCE,paris,WH-A,Electronics,N/A,,0.0,-18,Delivered,"March 4, 2023"
8929,GlobalTrade GmbH,Polad,Warsaw,WH-A,Packaging,294,,0.0,34,CANCELLED,"March 13, 2023"
4601,Iberia Parts,France,paris,WH-A ,Steel Parts,,,0.0,29, delivered,28/01/2022
6947,GlobalTrade GmbH,Polad,Warsaw,WH_C,Packaging,,191.42,191.42,-21,Delivered,25/10/2023
5357,Nordic  Logistics,GERMANY,MUNICH,WH_C,Steel Parts,479,,0.0,12, delivered,"March 3, 2023"
4658,Nordic  Logistics,Poland,WARSAW,WH_C,steel parts ,,-36.17,-36.17,-11,IN TRANSIT,"March 1, 2023"
5579,MedTech SRL ,Spian,Barcelona,WH_C,Steel Parts,,137.43,137.43,,Delayed,24/03/2023
8082,Iberia Parts,BELGIUM,Brussels,WH-D,Packaging,159,,0.0,,CANCELLED,07/04/2024
4037,Iberia Parts,FRANCE,lyon,wh-b,steel parts ,N/A,,0.0,,Delivered,2022-06-26
5434,Iberia Parts,belgium,brussels,WH-A ,Electronics,,162.81,162.81,-25,IN TRANSIT,21/11/2022
8946,Nordic  Logistics,Italy,MILAN,WH-D,PLASTIC COMPONENTS,N/A,-8.41,-8.41,, delivered,2024-02-13
8133,GlobalTrade GmbH,Belguim,brussels,WH-A,Steel Parts,N/A,80.72,80.72,-22,IN TRANSIT,20/12/2022
5633,GlobalTrade GmbH,ITALY,milan,WH-D,PLASTIC COMPONENTS,N/A,-37.18,-37.18,unknown,Delivered,2024-02-05
7161,Nordic  Logistics,France,MARSEILLE,WH-A ,steel parts ,,-76.97,-76.97,-23,CANCELLED,13/12/2022
5365,MedTech SRL ,Spian,madrid,WH-A ,PLASTIC COMPONENTS,N/A,,0.0,-12,Delayed,11/01/2023
7725, EuroSupply SA,Itlay,Rome,wh-b,PLASTIC COMPONENTS,N/A,,0.0,-23,In Transit,30/07/2022
8122,GlobalTrade GmbH,GERMANY,Munich,WH-A,Electronics,,-26.81,-26.81,unknown,CANCELLED,"March 10, 2023"
